i,a,b,w
1,562.0868621916172,12162.90396680065,4
2,8115.906705704565,9819.41552545945,10
3,5849.8255243797985,8718.08645687312,3
4,7802.363705904499,10381.465368005413,9
5,3970.5929336085637,13766.487820205606,19
6,3471.474186119652,15061.555500641402,2
7,9931.498601329427,18984.670285728,0
8,6583.632276610896,17053.943470792776,1
9,2636.8484895699303,18756.60104124905,8
10,4976.407624910665,17075.251763575543,19
11,32.31405883692055,1002.5065949868015,2
12,1518.912786351606,10540.637592060937,7
13,9928.485852754806,16662.14897830193,18
14,1775.93694241834,19423.52163389286,7
15,7450.80522383982,7864.698923326442,8
16,1432.3177462824094,16533.54304692681,0
17,8242.474360389646,17295.182523970878,12
18,3506.522616933017,11727.177910254526,4
19,222.68418492621313,10635.54909285767,16
20,6924.776355862122,14317.46661427102,10
21,3262.2110532396796,9665.327729553635,6
22,6799.776159129584,10568.82938954892,12
23,5909.023648823323,17695.339929262653,19
24,1056.1633346821823,15389.901423190804,12
25,5040.0304304196725,7411.464084530466,5
26,1733.2716874799755,15531.439355237819,16
27,7872.009664076774,16244.094938060498,8
28,1604.6180823697707,16375.606964000739,9
29,2007.402814813861,17983.272766957645,10
30,5788.479042561322,16311.522611239601,2
31,5531.259588263875,11973.489416087095,13
32,4183.310157928391,9576.478064113544,5
33,1738.8859425822136,9867.49562345875,8
34,540.2069445286049,13835.354105326971,3
35,3731.5296714187534,9834.241763673566,6
36,6264.354655305416,9417.75798171169,4
37,5999.085470043772,17400.712650378046,15
38,2929.3085565798424,4927.885828613241,18
39,7362.742886473893,12760.394390726558,12
40,2994.9637649829756,13917.013100096381,10
41,9223.19793906515,17318.262319765923,0
42,1378.6575322402875,6778.434211837198,13
43,6848.090486136198,10666.93629685078,3
44,7822.395141552592,10564.231430025839,11
45,4079.1685813760655,11294.012088164154,13
46,372.9492514213517,14333.962743452943,19
47,1650.6440121746816,18183.099658689134,12
48,2437.561762589013,14466.200214763969,10
49,3733.0570348679466,6339.785670805028,3
50,6556.851211601469,12083.530724502802,5
51,1696.8991222696427,5518.749938050021,15
52,135.5400783017696,9870.46885910715,17
53,8738.279396313632,17510.724789820342,17
54,8931.427463670578,10689.876268405744,0
55,4496.114108240642,15858.237215326026,7
56,8276.543287081335,19264.74718738436,12
57,4876.981870901401,14277.313887898727,5
58,3847.686304491908,7353.589773050455,0
59,9757.667415666383,16057.513657772866,17
