i,a,b,w
1,8202.366653689844,12147.893167084208,13
2,8793.697710539358,9206.730175914337,15
3,2185.054050618406,9802.567627653232,0
4,6575.880777707188,8184.499793494418,6
5,7551.812620480015,19545.859746668706,15
6,2864.8148917996837,13982.01085226008,7
7,7295.565164043207,14243.556355986417,1
8,8555.41903857637,14973.806173871328,0
9,3226.9650617874927,3240.6757534274216,1
10,239.54487917065902,5343.319242411011,16
11,1968.569427686314,4645.131681386678,7
12,5344.594420619999,11462.025834764227,3
13,3900.431674578216,17039.815272526266,1
14,2253.0895719561167,12303.405835381189,10
15,4195.615655367894,6906.738557287636,11
16,4928.466748146269,11336.841600754069,18
17,5210.339034581828,18016.49353076895,3
18,4896.893538579288,19440.910773066604,18
19,2506.3538793357416,8713.539139148743,12
20,9898.596980591143,10647.707375323751,6
21,5960.066926069748,18159.706366957205,2
22,8746.97583321513,13807.649132689443,19
23,1216.3560577489086,7709.759599462455,18
24,5037.034059938249,17808.76848654881,6
25,7214.197789443427,11474.305113963053,5
26,4355.945039625158,19610.700133632574,10
27,7118.257273434633,11916.522095451353,18
28,5071.206194121228,16931.75817041506,9
29,274.4850485140058,3615.0526973719407,19
30,9536.455446904069,17084.669895164185,14
31,156.3089961683025,16454.882167385465,7
32,5294.238093378234,17419.51414909315,6
33,5755.229107633942,12685.741120024762,14
34,5424.0928527422375,11981.726275382807,19
35,1965.5308618285214,6903.641759748732,16
36,5567.97225013034,13708.940855694336,15
37,6858.2026513924175,11766.726661834753,0
38,7409.746663447454,10846.507236322763,1
39,5478.973251924113,12627.235625345045,1
40,4317.436194601481,8744.546033842746,4
41,9275.05843900755,10570.51209427689,14
42,1255.4745808504956,14866.36643950471,3
43,4146.9673460279255,18390.964080455786,19
44,7474.470774182317,10935.23295995743,19
45,93.26986130929055,9515.009246353908,6
46,6761.338270176774,11911.040861835298,15
47,2659.324828072523,14180.933108261037,13
48,8128.7807505748115,11145.368865614388,6
49,7190.257039935484,9712.84585676057,1
50,1705.8690760427799,2292.4944056152635,6
51,536.9427164567596,12984.822206714758,1
52,7818.418471342413,12988.698369336409,4
53,1896.801595072115,3551.287511188849,5
54,773.8681663383959,11300.37826471276,18
55,2155.7528504007128,6908.022330009455,13
56,8740.83324863271,12746.092680621152,3
57,8581.794951627777,9471.396984259944,6
58,9633.16368700301,16124.254508910559,9
59,8983.3517978201,19571.17385725092,9
60,9907.778485062832,15033.144687768594,12
61,9509.572795001313,15780.213054996015,12
62,2019.8061558623779,10633.107836734209,12
63,8034.3540002080035,14176.984431261579,16
64,9876.640588102986,19139.3216876306,7
65,2991.872945060483,14616.97511509474,7
66,2074.7610083768504,3134.902585039773,5
67,9232.057327173203,19388.241630473705,0
68,6092.530512240637,19531.09566353611,3
69,4661.069806645791,13679.063385314315,18
70,6732.485918526099,9508.902477030104,12
71,5498.506451898754,13390.617675909241,5
72,3672.1032516575096,15331.313495887844,16
73,2206.505318381767,10531.007993547188,17
74,3518.3150368174943,18274.814614122966,19
75,4339.9139480531385,15075.530196416825,0
76,1288.6598078871348,19998.353710889878,19
77,5297.644871080161,9258.316813069263,15
78,9255.437939145457,16605.151599217996,15
79,1104.0201082248057,9597.693413650313,8
80,323.329830768132,3965.347950481563,9
81,2876.5022049606996,18900.133097677703,3
82,5187.509324401944,10083.01431559818,11
83,4576.114747282003,16725.93998969037,11
84,2632.571187595641,16773.681753359015,14
85,5131.125377761226,13182.30619399709,15
86,4583.551160401633,19467.778178082383,13
87,186.4585101635607,6699.422442546033,10
88,1737.7728559332852,13854.600376665072,8
89,5586.413404332186,6502.109329513327,4
90,8806.47587376069,8956.418843915275,18
91,2265.419950274096,18586.965170119587,4
92,7475.1513669778315,8966.129062126593,4
93,7728.084248192166,13517.536857039913,0
94,5250.530561302438,19313.17365242335,13
95,539.201702012084,10296.374505495927,9
96,4913.320077755131,13218.412430294153,19
97,824.2649197970395,18676.373885880374,14
98,7973.690848265828,12283.599649067048,13
99,1347.9298398818503,16102.865829467142,16
100,7515.639003805953,13136.201033696361,3
101,5029.527782395124,14834.910658062152,8
102,4988.403937638852,5337.389414018203,17
103,1268.9088283649899,10237.91027429617,6
104,3246.155982654359,13215.688490681572,14
105,5811.421304601786,18638.806144049428,7
106,7593.512359968763,10098.002726679368,4
107,8065.811693988217,9718.298813849284,19
108,2192.158171445418,9165.334947737392,8
109,7008.058228955086,9116.981031674968,19
110,92.70354250452459,2302.7834033968425,5
111,2542.6099752570335,10266.849583554165,7
112,4114.81422324027,6582.6255840147205,4
113,4832.381537094367,6715.180043554774,4
114,1310.29200194922,2633.9429621227882,11
115,19.438913272426714,5195.579081690479,13
116,5966.159353203354,7992.958328306116,18
117,8473.577242688356,12363.594963976708,14
118,1288.145701591233,4635.862919882934,16
119,9433.060061111073,12253.781445765493,19
120,7153.5395243798885,15265.656848865918,19
121,5943.379146753119,12126.442954189988,19
122,4180.8504245519325,9117.195115874003,14
123,6272.922755173131,19708.377646879602,16
124,6150.745339554251,7905.281812624647,5
125,2925.249594992604,4647.1317081183915,12
126,4166.532961969379,4745.9334524606165,7
127,3411.099770988609,13075.116742450467,14
128,5975.629366453929,17111.183586304407,12
129,4921.546584809073,10011.229525771163,12
130,652.9561074796254,9778.270545403693,10
131,6018.894992740567,17274.009617336385,13
132,4931.865749685511,13763.203794935114,1
133,7018.239455079029,17989.95433609528,0
134,1201.282388202203,4696.529078891552,4
135,3339.5063792545775,7796.89346314781,14
136,2940.9471306140777,7561.5377149371325,2
137,8441.437565094913,14666.95210539826,9
138,8827.736812362133,14067.513684918602,13
139,6160.818852279702,9677.24188679598,8
140,5242.277199540945,8701.044172091924,10
141,2053.7380973780173,7656.548541144101,1
142,1551.9925186757532,19975.61997826341,15
143,7344.047170105338,12933.894436344728,9
144,5824.807121107872,9882.261669513495,7
145,3733.7530165270623,6672.858881043576,18
146,9643.91162232248,15655.122879515511,0
147,3538.3887080405525,11412.511525132846,1
148,477.9427968743944,2960.3328749147595,6
149,3641.470897458585,9474.564432581865,5
150,6114.711749740349,6204.9725362232875,15
151,3195.871490697406,19392.944480148322,2
152,967.5736737854102,18661.829450892954,6
153,6661.3676518382,16124.416624749654,7
154,1898.5307357139666,14113.830298204834,0
155,9899.832801943767,14114.356592568773,18
156,9860.263505965018,18429.846162153342,15
157,5565.906367973161,11050.653115097484,2
158,9513.719399695303,10160.153037823091,6
159,9467.205854016906,19432.521995760886,12
160,22.195875853215522,10431.255363002027,9
161,6213.586762189547,6704.878225666445,15
162,6936.895246920211,19682.648307709434,2
163,5704.13244113576,17906.009238053608,3
164,1939.8213827936343,2998.367697155538,6
165,1786.3273752512223,14068.795436899261,2
166,6760.819546927103,8005.944867266739,4
167,9956.351444315716,18404.62582182358,7
168,289.40159148933157,11158.175733631426,4
169,7464.87407260244,14081.190643520236,1
170,7973.013605356102,17416.44635869992,2
171,6484.812120977674,19738.55284930807,2
172,191.29146755387367,473.7235239970588,14
173,5173.953067946968,12830.635013612586,14
174,9597.900784662814,18118.26010347143,6
175,8623.22302380127,16457.660828179312,9
176,2333.75935843572,8336.89558144391,13
177,1145.362584025345,9265.0683685856,18
178,395.7462767386151,18657.108562277906,11
179,639.8478355352484,3545.0351656704815,13
180,3575.2589698132388,4111.773203590675,11
181,7979.964815611386,9679.81117988265,0
182,1611.705249232084,18989.33783003612,3
183,9595.921241927706,19868.974499651915,16
184,9984.65758952633,15460.073400218716,18
185,1038.811233749832,12947.957976090058,6
186,1327.0940627987777,17240.678804163366,10
187,8077.917589282809,17979.742517509847,14
188,9486.43654042605,16934.72331411819,18
189,3884.0961766009677,6355.446870197124,0
190,9973.010338805878,14544.384034586008,7
191,7342.619410578492,19124.441187868735,4
192,3320.388450262477,11532.292275439335,5
193,257.21288065523527,8371.170247525233,17
194,3666.7777134942817,11510.578837763363,5
195,8166.924670295816,12050.395188599516,9
196,3531.6790945222047,3832.5730017881574,9
197,3183.148035196234,4161.01683699027,18
198,845.051495963188,15734.43123019842,12
199,5639.798851700919,12987.848682862528,16
200,376.530580130249,14288.227558350678,8
201,7834.715143671537,15727.424363640237,8
202,6343.792802966041,7827.910806283297,1
203,8441.975033664949,17354.32972175827,10
204,6174.633714114512,12219.454145487816,16
205,6338.881554563233,18951.226292495543,6
206,5764.602952476969,11840.03691244996,17
207,8129.400611327909,11920.578811628005,9
208,8495.011014261057,10333.755983939023,0
209,6030.693621619194,13230.852037036639,1
210,7245.07803511884,14421.92951148593,15
211,9362.438603992048,15038.270189366025,8
212,6281.861442144342,9195.043047938469,14
213,2799.0732835365543,16041.211183945421,7
214,1848.4351733132573,2296.350083421998,1
215,2511.9199457211726,14592.30325222559,1
216,196.6431230253309,9100.071004581034,4
217,1800.5484777278123,13635.722567039902,10
218,8806.644810524993,9486.048482019642,18
219,9858.163704046457,14087.523275830925,19
220,7794.027360944452,15711.729872769043,14
221,4536.711281441487,10435.924241054006,3
222,360.7428189799929,14466.678840029646,0
223,6289.060163955225,7391.5138045262875,1
224,7310.28144587096,8881.255347011818,10
225,7923.927682651459,16625.252906076017,0
226,4938.475727200801,11002.38542963213,18
227,136.2751731825041,334.1447253296739,19
228,3821.6927783518645,7573.068257250114,16
229,7189.851333707417,14417.71605611765,0
230,8354.669607617452,16765.82404945454,0
231,6611.433648673551,19264.38398629613,4
232,3741.703997311147,4125.655394672269,2
233,9878.259839109965,10156.864761141214,12
234,4678.24303866234,9088.079643073135,3
235,632.4003765003647,10177.492145549593,13
236,7447.491628592866,13929.877912011856,4
237,6982.051378635294,9294.555754178693,19
238,4557.7923579108765,6300.518922596371,17
239,443.6456880092176,3656.5354275793616,16
240,4724.308297226603,6794.114831550603,2
241,9432.842377806357,9848.17735067831,18
242,3376.7363332085283,7361.232873623685,18
243,5364.810354898485,16952.949612742537,19
244,6468.797567715596,16549.452157952917,18
245,4812.901472922481,15887.188169386925,19
246,4841.2972563114145,9451.187130872388,0
247,2002.2684178442612,3114.876358591253,19
248,2588.927614853591,16654.59978777945,0
249,5678.333142954372,7854.8177787203185,7
250,4639.242237820787,14840.144800051117,17
251,7877.782371237657,8906.4459431684,10
252,855.6440006028791,2887.0955389887745,12
253,5751.628760303972,8679.529266268411,19
254,4715.545181262753,15623.327335865255,1
255,2470.726452198991,8752.812684891987,11
256,3595.1724465909647,16198.669845764829,4
