i,a,b,w
1,8878.724158924715,16031.35687773921,6
2,4041.0532690172063,15359.740638469251,8
3,7088.364844884965,19835.297600987637,15
4,7053.899763384137,7476.719815304981,5
5,2145.9167936903978,8465.786100230254,14
6,3698.742890548035,17508.278488611788,16
7,7455.377578997258,13489.689437662531,4
8,2462.4383802311463,5401.1161316834205,1
9,9216.963151358701,18495.071813258925,3
10,5968.100357207259,6910.183177152774,5
11,9225.613931916756,17234.243358822303,2
12,4179.91409712124,5628.768908645667,16
13,7898.362141734034,8689.189329177229,10
14,225.63451286115767,2119.404395932326,8
15,1537.0641137753998,10617.436898959686,11
16,1812.355713087874,11910.569920387848,3
17,7681.690413317853,16553.431299465166,8
18,3929.740158817715,10960.079120335506,11
19,7103.15082264717,14489.758045339953,17
20,2952.887056910855,15952.67036027789,3
21,8512.124618597185,16336.800439486957,9
22,5822.16996054857,8987.808437900754,16
23,1885.5399385495225,19389.091212355277,18
24,2970.3860096592252,8153.368451786994,16
25,8486.210401639524,19230.251427246025,8
26,8462.345715009194,17780.680498170757,9
27,4552.698158106288,14168.477621553582,5
28,221.9187864860801,6797.753611795879,11
29,5900.736330863889,10985.073375241487,4
30,6472.753927091674,17236.17327515432,1
31,313.93526449697544,17892.1626197884,8
32,4124.648116547551,10791.531410599473,14
33,6032.1355171063005,11036.521782603508,4
34,3685.3038413047548,7998.265092412079,4
35,6551.606290835092,10027.930848055918,19
36,122.57659139351736,5768.613222507141,6
37,2915.0090053043536,8973.166579001554,1
38,3023.8930540437177,18397.75997889765,0
39,2295.9881279355873,16815.875233505387,18
40,496.57802591726096,3545.206352230809,18
41,6974.382509832998,13198.173519059928,14
42,5.35913133330528,9722.701477014703,6
43,8817.96170611399,12670.966951612758,11
44,4775.701315293209,19351.52318710895,18
45,5475.517533630037,16532.44699146092,19
46,1570.4558387787592,9283.583363781174,15
47,1931.7592904037797,9398.453156332716,19
48,4063.9099912360466,19293.66315237926,6
49,9017.894419386477,19835.989546997713,18
50,2001.0275975256802,18923.104649783687,11
51,5917.973833081892,18313.460143117798,15
52,9254.801947870052,11527.818309764749,9
53,1661.4230889622509,6967.80419053008,9
54,2905.503336759073,18960.913169106847,0
55,6531.548272773958,16458.861954623284,6
56,562.9831897266018,4080.500648259512,9
57,4337.914515406691,11120.268860819077,18
58,3800.501730488708,12706.752534623369,12
59,3932.899573031118,4351.194694005323,2
60,8966.967906756763,13257.776845155828,1
61,977.1004477170145,16402.12951523019,18
62,6040.009517752787,14058.189111583233,0
63,5104.814078504673,14111.458366006575,7
64,990.2833551786069,13013.997131445814,5
65,6774.7709130339335,7657.9224310683985,9
66,3398.172937072136,16899.537205622575,12
67,9474.336780006208,12974.34748767469,8
68,3319.4626900227704,11104.75493179744,12
69,3638.5803993394807,17271.042521861516,8
70,4982.752765576672,12178.086676260005,3
71,4440.526189577047,10771.797898572187,5
72,4630.774062861444,13548.095078288778,4
73,6660.304663089147,12440.576409533718,10
74,3367.1927925314267,18435.26738269641,14
75,7269.94520243715,14159.117546382477,6
76,1582.8938518337686,9420.360723091859,1
77,6980.361007337446,11171.261239233832,8
78,7339.6163424128135,17574.332989679864,1
79,8996.497667677317,14526.339872105007,9
80,5513.621754258279,13029.593835074873,6
81,2200.2589242046142,6201.69024307968,17
82,4797.353837238156,13919.658329873793,6
83,8955.468121329233,15374.469157288835,7
84,3100.586384836654,17703.344416007465,8
85,2778.8676358237562,11480.358846282521,7
86,2471.558504774659,15211.711232880862,14
87,6863.078420958236,16201.331544859993,7
88,3184.2253869785404,18154.76548963416,5
89,3199.9755691279843,13404.021294066873,19
90,6408.64128460719,17737.770724979167,10
91,9825.608608378014,18808.532991560256,6
92,4546.949652882104,7908.678140085934,1
93,8060.580248937769,16793.588286332582,12
94,696.4119226885535,8051.9515992794395,12
95,4858.135409440608,6345.149938407073,11
96,6790.059877430277,13712.879261919665,17
97,2775.3335704181227,4830.078746399419,3
98,138.4548288935989,299.67826982816337,4
99,9101.210686574632,13872.718120719268,13
100,520.8847680303047,18464.349565261284,17
101,6796.424304105403,12545.29939478038,15
102,4322.3004262907725,11300.577673133543,9
103,4610.177072168112,14028.895750943986,3
104,9539.188148053569,11027.911333427819,0
105,9870.496245823635,12935.174338842186,11
106,2668.4593581083186,14152.416731668449,14
107,3636.6085284293567,7361.105936194781,19
108,1323.0062852476585,12012.74886673314,3
109,5128.307870889405,17802.271003392525,10
110,8827.43962365107,19565.53039046331,11
111,5380.287104946305,13687.466206045638,9
112,8335.257164495899,8380.825217731794,15
113,5976.288022003266,7730.695183610418,17
114,4737.902285071501,17916.71891876774,19
115,1541.5960712863398,1758.6128462982488,3
116,9035.861973336132,18408.56944915948,10
117,8452.66219989835,11595.533787916462,19
118,276.1019098871658,9331.952835913482,18
119,2088.6558990580434,18700.97058046311,18
120,4507.139397894722,19098.462476833778,5
121,7261.642289564951,15058.32461312038,18
122,6377.265615876999,14882.655314404972,12
123,7505.506414177811,12196.908572842209,18
124,8307.284813146965,12105.360368856087,3
125,9746.674171006696,11977.806772616024,19
126,2082.4780650971934,4402.974765772651,9
127,6235.598293079686,19791.43014270063,14
128,4595.155778413401,14985.662000048142,6
129,5339.870608472941,9280.808849558198,0
130,1949.4410251761346,17426.00089926158,0
131,4885.8193013784685,12826.09627409167,14
132,7126.350502730672,15261.19394487777,9
133,1121.6175997502892,5596.6517404203805,5
134,7669.603882562125,10544.652233370201,17
135,4225.041304883585,14396.035765524013,9
136,8989.431049964647,11222.748015888641,19
137,3740.902445164635,10827.04537902446,15
138,9780.490136376866,17550.55510930367,18
139,5506.474772845375,17838.807459660595,15
140,5319.300629431317,14404.65359083606,19
141,704.3895125040798,8909.372965675073,11
142,240.87292610675456,17292.391390079476,1
143,5676.693603694386,14517.580947587625,14
144,9300.546599256928,10289.554560395598,12
145,2061.427267145081,19234.898386306737,14
146,2749.1282039937455,10359.335405014921,11
147,3983.3418061049497,12544.955526769121,7
148,7547.684649962438,18053.87401985729,16
149,3003.5787768519613,10081.11203567883,14
150,2922.1182985070004,10293.40018462079,2
151,3110.9975409535527,14235.938347325518,8
152,4199.625585982352,13860.007459901164,18
153,9578.219095097838,11256.829192544767,17
154,9047.675684332733,19858.72163135007,3
155,9276.582580411834,16536.293412355197,15
156,918.6469581196894,7760.354376112421,5
157,977.8590048536055,15799.803091578817,6
158,6672.906952909565,18644.235462577522,1
159,8781.812865182124,10079.989625211592,5
160,3923.9245137427233,15125.287467406783,3
161,7661.438291898035,12329.994077910836,0
162,4924.697770095034,14420.152322870688,5
163,4961.037491622006,14116.272376613744,5
164,3518.015066079367,16044.059500930787,1
165,8058.044650670587,18245.490379321673,13
166,5633.433469752345,16190.806820218186,10
167,7888.290411250758,15428.500858760868,11
168,4397.824090043135,12283.241387176458,2
169,2802.244094886649,8733.625876822838,19
170,1677.4455436742185,12782.906181775923,8
171,7926.455726580021,13268.120675085142,4
172,1502.884306946823,6711.176932916168,9
173,5216.075742320539,9693.900243933022,0
174,1779.6447308984448,11191.543351320852,15
175,2330.867796484863,10133.17954551188,10
176,9093.07922828683,18499.505471830285,17
177,3295.5887765755588,11487.47647094739,7
178,1229.9292883776336,9620.085487555301,6
179,760.9348328455218,15366.156496775113,10
180,4698.92741226883,17025.96756220669,5
181,7343.999728241197,9710.385647991288,4
182,7453.513652580069,14884.82896210503,0
183,63.651474960422924,18441.04246295944,17
184,789.1589163826831,2955.2421630784916,18
185,5339.269911574609,8791.230521691485,18
186,6612.762819590224,19603.48466683026,12
187,8664.551404142836,9307.51299828512,6
188,7976.943357008931,18189.173569072827,13
189,9201.895715894201,16617.17276485276,9
190,2213.021799689019,2596.977089219994,7
191,733.1437821393762,12964.1653722241,18
192,1804.1966389645659,2623.982921078613,17
193,8416.016866922377,16569.229918205998,18
194,5298.28176487849,11965.298850614701,15
195,4899.985522886947,13255.872975131068,18
196,4394.451653487154,4592.395160660314,13
197,4141.712517623824,5066.803936843768,8
198,4010.835050370026,16429.749250790126,2
199,6055.254007315187,10817.214546557732,17
200,7931.645459711718,9407.404888228682,1
201,5370.092708474501,15887.866030447123,16
202,7947.132996121709,14081.998776883014,12
203,91.68611937053025,9209.846864222576,13
204,4336.872108650057,12147.91913885892,5
205,2325.8948049230085,18699.88143799781,4
206,8525.622506222024,11136.301186052426,8
207,9265.274003371647,19525.67221965125,4
208,7456.956556791708,11802.191979528627,2
