i,a,b,w
1,119.2402019465455,929.060719028556,13
2,1268.0120231533233,7993.831433223326,17
3,9661.161855647943,16897.218213201144,0
4,8959.499288814795,13427.31466769188,18
5,8830.857036045329,12888.831169956307,13
6,965.3233237263727,15041.268948674351,15
7,8847.020089634716,14581.450968335463,4
8,5712.143075404073,11114.552762957961,2
9,3528.198662985695,10346.103028473226,18
10,4318.864460117036,17452.425116590377,11
11,3085.1289449328897,3976.9440261180766,1
12,2130.4503643622297,11402.378950983346,13
13,3675.3122460334266,5953.1621791352645,18
14,5409.818867647253,10003.416099631244,4
15,3794.908028332122,12215.221869266334,7
16,9326.454714057905,11243.413936482155,0
17,234.60097067313183,16816.549024221524,7
18,4173.1753834916735,6227.654578837681,7
19,9072.365020171957,10949.110238637413,5
20,426.62742233823144,12982.242066016848,18
21,197.7412372276244,11644.020645524919,18
22,5058.551322507935,18291.37249747687,3
23,2326.3399441235474,6361.843151005717,13
24,5156.335163638207,15880.40547937037,8
25,4730.843171791283,8436.981023035114,11
26,1.83711202247745,15229.468212989736,11
27,3332.5217879524275,5362.683433325885,15
28,4199.982758129002,9749.09047055318,11
29,1261.315473230783,15942.505070763536,12
30,1392.363412205591,5777.345003815805,14
31,5429.15205358476,19959.848136619483,11
32,6357.678521085797,18480.40199389974,17
33,4437.569753801292,15079.373926807182,17
34,5792.577903773481,8637.242683169246,6
35,2242.406356333655,16737.211125584457,11
36,9566.380494032246,13291.873845974273,15
37,4588.5431233592835,8710.371883115802,14
38,4533.11995604598,11563.665574980601,19
39,3744.7731022397447,11068.90179133462,2
40,8617.74616313801,14744.485093556414,1
41,7018.224920268811,14888.093773762834,17
42,4.671787102345787,13870.18542924459,12
43,6200.5905808710795,9774.137008646849,18
44,716.0353606579114,17895.847997278353,19
45,5242.082471523596,16398.148921723336,16
46,3111.3472398383906,10663.909474784698,7
47,8234.987902922723,19854.225912842423,13
48,7695.498265687382,10170.742591334712,5
49,847.7117009437287,16218.20074623233,16
50,8361.80013345499,17506.77455333715,1
51,4388.3552454196,17181.07302265358,13
52,8386.265120826463,18074.003059744125,9
53,9895.608637590896,14389.631291972042,0
54,811.5285327913834,14561.182879487333,16
55,9403.443594261573,16546.929415953506,19
56,2690.5408717226087,15083.33482920129,1
57,3012.5958367237154,13470.543505360543,1
58,5105.704949457384,6343.894446339364,3
59,6922.774233198758,12230.056837977761,9
60,3846.2505171245225,4391.958415464755,8
61,8758.682823887855,18819.640348433062,5
62,9888.75361120404,19743.960518092397,9
63,7711.5345911226905,19854.12833540391,13
64,5786.0902111829055,10639.801132887531,4
65,4733.864579972061,19952.391909744787,18
66,9829.484775243396,17375.461165928595,5
67,2871.7693915571235,18655.298074428152,15
68,6605.48105445407,6971.479171017666,10
69,7855.805218604802,8896.8089285814,17
70,4847.47197972553,17012.69903560067,4
71,5567.097790001666,18655.679251358953,4
72,5287.368927039285,15020.780872975942,18
73,7698.661074618177,11250.462183284733,6
74,3362.850653108583,17454.45548156047,10
75,1447.796493842502,9042.91771527885,1
76,8199.10912603964,12110.073734876953,3
77,1092.6867258042962,7285.130386380411,8
78,2705.955857510496,11481.535920019413,12
79,7421.183903480526,18926.910471983272,2
80,1240.530846917434,3834.078958979969,16
81,3172.028688303997,5609.790544153685,7
82,9116.739311275482,14841.43965295558,8
83,7515.491689008349,16651.30734553813,16
84,7971.994600755867,9108.501232217608,7
85,2066.9963705884024,18986.53738977058,16
86,6835.558834678562,16685.58240572135,18
87,5939.277137693582,18423.316497928226,10
88,2004.6611067614513,18373.585039674417,16
89,6365.972326785561,19495.13822761927,5
90,5739.486218629058,7858.062146825492,16
91,5541.3371985045005,8283.844135459907,6
92,1053.2270202080713,8930.190375061864,8
93,5801.486765356556,14597.093287735082,6
94,3004.028805508973,17454.436589576973,16
95,6176.9513138863285,9932.151408140142,5
96,8015.858077249984,15478.906023783195,17
97,6323.871229635335,19817.95735937024,17
98,6453.431846405899,7894.537759327367,5
99,3032.877205930879,7525.591249849387,10
100,5401.151743209245,11802.448447660396,11
101,988.4199388349475,4675.462073148688,11
102,6884.177586811225,7567.818070867055,8
103,1205.954990805862,3202.776702753864,8
104,6638.579778527933,12797.34167305746,9
105,4777.049123527207,8856.407362871212,10
106,5692.663300763662,15558.30732952951,15
107,5446.095653637436,8321.769022001848,3
108,282.31983419494713,14119.99427607215,13
109,4209.001987865835,8114.3861905279355,12
110,5999.974425108761,19108.04203805588,10
111,5370.775725180908,16695.431807997502,13
112,4159.036034013455,11138.399192755642,3
113,5384.094834843576,6111.581065418668,9
114,4366.192086210931,13302.680830612624,8
115,3210.346018348033,18383.84921455439,13
116,2020.2716591239412,9147.571873822824,1
117,3258.2918946431037,11802.627433996977,18
118,3386.1706867966177,16003.791751051464,13
119,5190.620374639747,19697.317820544496,2
120,1861.6329846822546,15127.42593048625,5
121,6851.318672346681,15756.421407940941,5
122,841.6896739558812,13657.22140678402,3
123,4727.101853564148,14815.900433152474,18
124,1321.3617222834707,3757.603623312274,8
125,2600.414988436826,9978.199452211262,5
126,8266.062196333527,10695.368470496316,11
127,5710.1345099500695,10205.822022580844,16
128,3831.903080628266,15748.74647176415,14
129,7495.310655002905,19918.87253876607,11
